Jednoznačná varianta vozu,Značka,Model,Verze,Generace,Karoserie,Počet míst,Objem motoru,Typ motoru,Palivo,Hybrid typ,Spotřeba (l/100 km),Objem kufru (l),Hlučnost (dB),Cd,Cd zdroj,Přidáno,Upraveno
Škoda Superb Liftback 1.5 TSI,Škoda,Superb,,Gen 4,Hatchback,,1.5,TSI,Benzín,,"5,4",645,68,0.23,reálné,2026-06-28,2026-07-11
Škoda Superb Combi 1.5 TSI,Škoda,Superb,,Gen 4,Kombi,,1.5,TSI,Benzín,,"5,6",690,69,0.25,reálné,2026-06-28,2026-07-11
Škoda Superb Combi iV,Škoda,Superb,,Gen 4,Kombi,,1.5,,Benzín,PHEV,"1,2",510,67,0.25,reálné,2026-06-28,2026-07-11
Škoda Superb Combi Style 2.0 TDI,Škoda,Superb,Style,Gen 3,Kombi,,2.0,TDI,Nafta,,"4,9",660,69,0.25,reálné,2026-06-28,2026-07-11
Škoda Superb Combi Style 1.5 TSI,Škoda,Superb,Style,B9,Kombi,,1.5,TSI,Benzín,,"5,6",690,69,0.25,reálné,2026-06-28,2026-07-11
SsangYong Rexton 2.2 e-XDI,SsangYong,Rexton,,,SUV,5,2.2,,Benzín,,"7,9",784,70,0.33,odhad,2026-06-28,2026-07-11
SsangYong Tivoli 1.5 GDI-T,SsangYong,Tivoli,,,SUV,,1.5,GDI,Benzín,,"7,0",427,70,0.33,odhad,2026-05-24,2026-07-11
SsangYong Torres 1.5 GDI-T,SsangYong,Torres,,,SUV,,1.5,GDI,Benzín,,"8,5",703,71,0.33,odhad,2026-05-24,2026-07-11
Subaru Forester 2.0i e-Boxer,Subaru,Forester,,,SUV,,2,,Benzín,HEV,"6,7",508,69,0.33,odhad,2026-05-24,2026-07-11
Subaru XV 1.6i Petrol,Subaru,XV,,,SUV,,1.6,,Benzín,,"7,2",385,70,0.33,odhad,2026-05-24,2026-07-11
Subaru XV 2.0i e-Boxer,Subaru,XV,,,SUV,,2,,Benzín,HEV,"6,9",340,69,0.33,odhad,2026-05-24,2026-07-11
Toyota Corolla Hatchback 1.8 Hybrid,Toyota,Corolla,,,Hatchback,,1.8,,Benzín,HEV,"4,4",361,67,0.3,reálné,2026-05-24,2026-07-11
Toyota Corolla TS Kombi 2.0 Hybrid,Toyota,Corolla TS,,,Kombi,,2.0,,Benzín,HEV,"4,6",596,68,0.31,reálné,2026-05-24,2026-07-11
Toyota Rav4 2.5 Hybrid,Toyota,Rav4,,,SUV,,2.5,,Benzín,HEV,"5,6",580,69,0.32,reálné,2026-06-28,2026-07-11
Toyota Rav4 2.5 Plug-In Hybrid,Toyota,Rav4,,,SUV,,2.5,,Benzín,PHEV,"1,0",520,68,0.32,reálné,2026-06-28,2026-07-11
Volvo XC40 B3 MHEV,Volvo,XC40,,,SUV,,2,,Benzín,MHEV,"6,7",452,69,0.34,reálné,2026-05-24,2026-07-11
VW Arteon Liftback 2.0 TSI,VW,Arteon,,,Hatchback,,2.0,TSI,Benzín,,"7,2",563,68,0.265,reálné,2026-05-24,2026-07-11
VW Arteon Shooting Brake 2.0 TDI,VW,Arteon,,,Shooting Brake,,2.0,TDI,Nafta,,"5,2",565,69,0.29,odhad,2026-05-24,2026-07-11
VW Golf Hatchback 1.5 TSI,VW,Golf,,Gen 8,Hatchback,,1.5,TSI,Benzín,,"5,4",381,68,0.275,reálné,2026-06-28,2026-07-11
VW Golf Variant 1.5 eTSI,VW,Golf,,Gen 8,Kombi,,1.5,eTSI,Benzín,MHEV,"5,6",611,69,0.275,reálné,2026-06-28,2026-07-11
VW Golf 8 eHybrid,VW,Golf,,,Hatchback,,1.4,,Benzín,PHEV,"1,2",273,67,0.3,odhad,2026-06-28,2026-07-11
VW Passat Variant 1.5 eTSI,VW,Passat,,B9,Kombi,,1.5,eTSI,Benzín,MHEV,"5,4",690,68,0.3,odhad,2026-06-28,2026-07-11
VW Passat Variant Elegance 2.0 TDI,VW,Passat,Elegance,B8,Kombi,,2.0,TDI,Nafta,,"4,9",650,68,0.3,odhad,2026-06-28,2026-07-11
VW Passat GTE,VW,Passat,,B8,Kombi,,1.4,,Benzín,PHEV,"1,5",483,67,0.3,odhad,2026-06-28,2026-07-11
VW Polo 1.0 TSI,VW,Polo,,,Hatchback,,1.0,TSI,Benzín,,"5,2",351,68,0.31,reálné,2026-05-24,2026-07-11
VW Sharan 2.0 TDI,VW,Sharan,,,MPV,5,2.0,TDI,Nafta,,"6,2",955,70,0.33,odhad,2026-06-28,2026-07-11
VW T-Cross 1.0 TSI,VW,T-Cross,,,SUV,,1.0,TSI,Benzín,,"5,8",385-455,69,0.33,odhad,2026-05-24,2026-07-11
VW T-Roc 1.5 TSI,VW,T-Roc,,,SUV,,1.5,TSI,Benzín,,"6,0",445,69,0.33,odhad,2026-05-24,2026-07-11
VW Taigo 1.0 TSI,VW,Taigo,,,SUV,,1.0,TSI,Benzín,,"5,5",440,69,0.33,odhad,2026-05-24,2026-07-11
VW Tiguan 1.5 eTSI,VW,Tiguan,,Gen 3,SUV,,1.5,eTSI,Benzín,MHEV,"6,2",615,69,0.33,odhad,2026-06-28,2026-07-11
VW Tiguan Allspace 2.0 TDI,VW,Tiguan,,,SUV,5,2.0,TDI,Nafta,,"5,8",760,70,0.33,odhad,2026-06-28,2026-07-11
VW Tiguan Life 1.5 TSI,VW,Tiguan,Life,Gen 2,SUV,,1.5,TSI,Benzín,,"6,8",615,70,0.33,odhad,2026-06-28,2026-07-11
VW Touran 1.5 TSI,VW,Touran,,,MPV,5,1.5,TSI,Benzín,,"6,5",743,69,0.33,odhad,2026-06-28,2026-07-11
VW Touran Comfortline 1.5 TSI,VW,Touran,Comfortline,,MPV,5,1.5,TSI,Benzín,,"6,5",743,69,0.33,odhad,2026-06-28,2026-07-11
Alfa Romeo Junior 1.2 Turbo,Alfa Romeo,Junior,,,SUV,,1.2,Turbo,Benzín,,"5,8",400,69,0.33,odhad,2026-05-26,2026-07-11
Alfa Romeo Tonale 1.5,Alfa Romeo,Tonale,,,SUV,,1.5,,Benzín,,"6,8",500,70,0.33,odhad,2026-05-26,2026-07-11
Audi A1 2.0 TFSI,Audi,A1,,,Hatchback,,2.0,TFSI,Benzín,,"7,5",335,72,0.32,reálné,2026-05-26,2026-07-11
Audi A5 2.0 TDI,Audi,A5,,,Sportback,,2.0,TDI,Nafta,,"5,0",495,68,0.28,reálné,2026-05-26,2026-07-11
Audi A5 2.0 TFSI,Audi,A5,,,Sportback,,2.0,TFSI,Benzín,,"6,5",495,69,0.28,reálné,2026-05-26,2026-07-11
Audi A6 2.0 TDI,Audi,A6,,,Sedan,,2.0,TDI,Nafta,,"5,2",530,68,0.24,reálné,2026-05-26,2026-07-11
Audi A6 2.0 TFSI,Audi,A6,,,Sedan,,2.0,TFSI,Benzín,,"6,8",530,69,0.24,reálné,2026-05-26,2026-07-11
Audi A6 3.0 TDI,Audi,A6,,,Sedan,,3.0,TDI,Nafta,,"6,5",530,69,0.24,reálné,2026-05-26,2026-07-11
Audi A8 60 Bi- 4.0 TFSI,Audi,A8,,,Sedan,,4.0,TFSI,Benzín,,"10,5",505,70,0.26,reálné,2026-05-26,2026-07-11
Audi Q5 TDI,Audi,Q5,,,SUV,,2,TDI,Nafta,,"6,0",520,69,0.3,reálné,2026-05-26,2026-07-11
BAIC X35 1.5,BAIC,X35,,,SUV,,1.5,,Benzín,,"7,2",350,71,0.33,odhad,2026-05-26,2026-07-11
BAIC X7 1.5,BAIC,X7,,,SUV,,1.5,,Benzín,,"8,0",450,71,0.33,odhad,2026-05-26,2026-07-11
BAIC X75 1.5,BAIC,X75,,,SUV,,1.5,,Benzín,,"8,2",500,71,0.33,odhad,2026-05-26,2026-07-11
BMW 1 1.5,BMW,1,,,Hatchback,,1.5,,Benzín,,"5,7",380,68,0.26,reálné,2026-05-26,2026-07-11
BMW 1 2.0,BMW,1,,,Hatchback,,2.0,,Benzín,,"6,8",380,69,0.26,reálné,2026-05-26,2026-07-11
BMW 2 1.5,BMW,2,,,MPV,,1.5,,Benzín,,"6,2",470,68,0.26,reálné,2026-05-26,2026-07-11
BMW 2 2.0,BMW,2,,,MPV,,2.0,,Benzín,,"7,0",470,69,0.26,reálné,2026-05-26,2026-07-11
BMW 3 2.0,BMW,3,,,Sedan,,2.0,,Benzín,,"6,2",480,68,0.23,reálné,2026-05-26,2026-07-11
BMW 5 2.0,BMW,5,,,Sedan,,2.0,,Benzín,,"6,0",520,68,0.23,reálné,2026-05-26,2026-07-11
BMW X3 2.0,BMW,X3,,,SUV,,2.0,,Benzín,,"7,5",550,69,0.29,reálné,2026-05-26,2026-07-11
Chevrolet TrailBlazer AWD 1.3,Chevrolet,TrailBlazer,,,SUV,,1.3,,Benzín,,"7,0",530,70,0.33,odhad,2026-05-26,2026-07-11
Citroën C3 Aircross 1.2,Citroën,C3 Aircross,,,SUV,,1.2,,Benzín,,"5,8",460,69,0.33,odhad,2026-05-26,2026-07-11
Citroën Jumpy 2.0,Citroën,Jumpy,,,MPV,,2.0,,Benzín,,"6,2",1000,72,0.33,odhad,2026-05-26,2026-07-11
Dacia Bigster 1.2 TCe,Dacia,Bigster,,,SUV,,1.2,TCe,Benzín,,"5,6",667,69,0.33,odhad,2026-05-26,2026-07-11
Dacia Bigster 1.8,Dacia,Bigster,,,SUV,,1.8,,Benzín,,"5,3",667,69,0.33,odhad,2026-05-26,2026-07-11
Dacia Jogger 1.6,Dacia,Jogger,,,MPV,,1.6,,Benzín,,"4,8",708,69,0.33,odhad,2026-05-26,2026-07-11
Dongfeng DF 6 2.3 dCi,Dongfeng,DF,,,MPV,,2.3,dCi,Nafta,,"8,5",800,72,0.33,odhad,2026-05-26,2026-07-11
Dongfeng Fengon 5 1.5 Turbo,Dongfeng,Fengon,,,MPV,,1.5,Turbo,Benzín,,"9,0",385,71,0.33,odhad,2026-05-26,2026-07-11
Dongfeng Mage E2 1.5,Dongfeng,Mage E2,,,Sedan,,1.5,,Benzín,,"6,5",480,70,0.27,odhad,2026-06-28,2026-07-11
Dongfeng Mage 1.5 Turbo,Dongfeng,Mage,,,Sedan,,1.5,Turbo,Benzín,,"6,5",480,70,0.27,odhad,2026-05-26,2026-07-11
EVO Cross4 2.0 Turbo,EVO,Cross4,,,SUV,,2.0,Turbo,Benzín,,"9,5",420,72,0.33,odhad,2026-05-26,2026-07-11
Fiat 600 1.2 Turbo,Fiat,600,,,SUV,,1.2,Turbo,Benzín,,"5,5",385,69,0.33,odhad,2026-05-26,2026-07-11
Fiat Grande Panda 1.2,Fiat,Grande Panda,,,Hatchback,,1.2,,Benzín,,"5,0",361,68,0.3,odhad,2026-05-26,2026-07-11
Fiat Scudo 2.0 MTJ,Fiat,Scudo,,,MPV,,2.0,MTJ,Benzín,,"6,5",1000,72,0.33,odhad,2026-05-26,2026-07-11
Fiat Tipo 1.6,Fiat,Tipo,,,Hatchback,,1.6,,Benzín,,"5,8",440,69,0.29,reálné,2026-05-26,2026-07-11
Ford Fiesta 1.5,Ford,Fiesta,,,Hatchback,,1.5,,Benzín,,"6,5",311,73,0.3,odhad,2026-05-26,2026-07-11
Ford Ranger 2.0 EcoBlue,Ford,Ranger,,,,,2.0,EcoBlue,Nafta,,"8,5",1000,73,0.4,reálné,2026-05-26,2026-07-11
Ford Tourneo Custom 2.0 EcoBlue,Ford,Tourneo Custom,,,MPV,,2.0,EcoBlue,Nafta,,"7,5",1100,72,0.33,odhad,2026-05-26,2026-07-11
Ford Transit Custom 2.0 dCi,Ford,Transit Custom,,,,,2.0,dCi,Nafta,,"7,5",1100,72,0.32,odhad,2026-05-26,2026-07-11
Genesis G70 2.2,Genesis,G70,,,Sedan,,2.2,,Benzín,,"7,5",330,69,0.28,reálné,2026-05-26,2026-07-11
Honda CR-V 1.5,Honda,CR-V,,,SUV,,1.5,,Benzín,,"7,8",561,69,0.33,odhad,2026-05-26,2026-07-11
Honda ZR-V 2.0,Honda,ZR-V,,,SUV,,2.0,,Benzín,,"5,0",380,68,0.33,odhad,2026-05-26,2026-07-11
Hyundai Staria 2.2 CRDi,Hyundai,Staria,,,MPV,,2.2,CRDi,Nafta,,"8,5",831,71,0.33,odhad,2026-05-26,2026-07-11
Hyundai i20 1.0 T-GDI,Hyundai,i20,,,Hatchback,,1.0,T-GDI,Benzín,,"5,3",352,68,0.3,odhad,2026-05-26,2026-07-11
Hyundai i20 1.6 T-GDI,Hyundai,i20,,,Hatchback,,1.6,T-GDI,Benzín,,"7,0",352,73,0.3,odhad,2026-05-26,2026-07-11
Jaecoo 5 1.6 TGDI,Jaecoo,5,,,SUV,,1.6,TGDI,Benzín,,"7,5",400,70,0.33,odhad,2026-05-26,2026-07-11
Kia Sorento 2.2 CRDi,Kia,Sorento,,,SUV,,2.2,CRDi,Nafta,,"7,5",813,70,0.32,reálné,2026-05-26,2026-07-11
Kia Sorento 2.5,Kia,Sorento,,,SUV,,2.5,,Benzín,,"8,5",813,71,0.32,reálné,2026-05-26,2026-07-11
Land Rover Range Rover Evoque 2.0,Land Rover,Range Rover Evoque,,,SUV,,2.0,,Benzín,,"8,2",472,70,0.33,reálné,2026-05-26,2026-07-11
Lexus RX 2.0 Turbo,Lexus,RX,,,SUV,,2.0,Turbo,Benzín,,"9,2",453,70,0.33,reálné,2026-05-26,2026-07-11
MG MG3 1.5,MG,MG3,,,Hatchback,,1.5,,Benzín,,"5,3",293,68,0.3,odhad,2026-05-26,2026-07-11
Mazda CX-60 3.3,Mazda,CX-60,,,SUV,,3.3,,Benzín,,"5,3",570,69,0.33,odhad,2026-05-26,2026-07-11
Mercedes-Benz C 220d,Mercedes-Benz,C,,,Sedan,,2,,Nafta,,"5,0",455,67,0.24,reálné,2026-05-26,2026-07-11
Mercedes-Benz C 300d,Mercedes-Benz,C,,,Sedan,,2,,Nafta,,"5,5",455,68,0.24,reálné,2026-05-26,2026-07-11
Mercedes-Benz GLA 1.3,Mercedes-Benz,GLA,,,SUV,,1.3,,Benzín,,"6,5",435,69,0.28,reálné,2026-05-26,2026-07-11
Mercedes-Benz GLA 2.0,Mercedes-Benz,GLA,,,SUV,,2.0,,Benzín,,"7,0",435,70,0.28,reálné,2026-05-26,2026-07-11
Mitsubishi Grandis 1.3,Mitsubishi,Grandis,,,SUV,,1.3,,Benzín,,"6,0",600,70,0.33,odhad,2026-05-26,2026-07-11
Mitsubishi L200 2.3,Mitsubishi,L200,,,,,2.3,,Benzín,,"8,0",800,73,0.32,odhad,2026-05-26,2026-07-11
Mitsubishi Outlander 2.4,Mitsubishi,Outlander,,,SUV,,2.4,,Benzín,,"7,8",469,69,0.33,reálné,2026-05-26,2026-07-11
Opel Mokka 1.2 Turbo,Opel,Mokka,,,SUV,,1.2,Turbo,Benzín,,"6,2",350,69,0.32,reálné,2026-05-26,2026-07-11
Opel Vivaro 2.0 CDTi,Opel,Vivaro,,,MPV,,2.0,CDTi,Nafta,,"6,5",1000,72,0.33,odhad,2026-05-26,2026-07-11
Opel Zafira 2.0 CDTi,Opel,Zafira,,,MPV,,2.0,CDTi,Nafta,,"5,8",710,70,0.3,reálné,2026-05-26,2026-07-11
Peugeot 3008 1.2,Peugeot,3008,,,SUV,,1.2,,Benzín,,"5,6",520,69,0.33,odhad,2026-05-26,2026-07-11
Peugeot 3008 1.6,Peugeot,3008,,,SUV,,1.6,,Benzín,,"5,8",520,69,0.33,odhad,2026-05-26,2026-07-11
Peugeot 408 1.2,Peugeot,408,,,Fastback,,1.2,,Benzín,,"5,5",536,68,0.28,reálné,2026-05-26,2026-07-11
Peugeot Expert 2.0 BlueHDi,Peugeot,Expert,,,MPV,,2.0,BlueHDi,Nafta,,"6,0",1000,72,0.33,odhad,2026-05-26,2026-07-11
Peugeot Traveller 2.0 BlueHDi,Peugeot,Traveller,,,MPV,,2.0,BlueHDi,Nafta,,"6,5",1100,72,0.33,odhad,2026-05-26,2026-07-11
Porsche 911 Targa 4S 3.0 Turbo,Porsche,911 Targa 4S,,,Kupé,,3.0,Turbo,Benzín,,"10,0",128,74,0.3,reálné,2026-05-26,2026-07-11
Renault Austral 1.3 TCe,Renault,Austral,,,SUV,,1.3,TCe,Benzín,,"5,8",500,69,0.33,odhad,2026-05-26,2026-07-11
Renault Clio 1.8 e-TEC,Renault,Clio,,,Hatchback,,1.8,e-TEC,Benzín,HEV,"4,8",391,68,0.3,odhad,2026-05-26,2026-07-11
Renault Symbioz 1.8 e-TEC,Renault,Symbioz,,,SUV,,1.8,e-TEC,Benzín,HEV,"4,7",624,68,0.33,odhad,2026-05-26,2026-07-11
Renault Trafic 1.9,Renault,Trafic,,,,,1.9,,Benzín,,"7,0",1100,72,0.32,odhad,2026-05-26,2026-07-11
Renault Trafic 2.0 dCi,Renault,Trafic,,,,,2.0,dCi,Nafta,,"7,0",1100,72,0.32,odhad,2026-05-26,2026-07-11
SWM G1 PRO 1.5 Turbo,SWM,G1 PRO,,,SUV,,1.5,Turbo,Benzín,,"7,5",380,71,0.33,odhad,2026-05-26,2026-07-11
SWM G5 PRO 1.5 Turbo,SWM,G5 PRO,,,SUV,,1.5,Turbo,Benzín,,"8,0",420,71,0.33,odhad,2026-05-26,2026-07-11
Seat Alhambra 1.4 TSI,Seat,Alhambra,,,MPV,,1.4,TSI,Benzín,,"7,5",630,69,0.3,reálné,2026-05-26,2026-07-11
SsangYong Musso 2.2,SsangYong,Musso,,,SUV,,2.2,,Benzín,,"8,5",1000,73,0.33,odhad,2026-05-26,2026-07-11
Subaru Crosstrek 2.0,Subaru,Crosstrek,,,SUV,,2.0,,Benzín,,"6,5",345,69,0.33,odhad,2026-05-26,2026-07-11
Subaru Impreza 2.0,Subaru,Impreza,,,Hatchback,,2.0,,Benzín,,"6,5",345,69,0.29,reálné,2026-05-26,2026-07-11
Subaru Outback 2.5,Subaru,Outback,,,Kombi,,2.5,,Benzín,,"7,3",522,69,0.3,odhad,2026-05-26,2026-07-11
Suzuki Swace 1.8,Suzuki,Swace,,,Kombi,,1.8,,Benzín,,"4,5",596,68,0.31,reálné,2026-05-26,2026-07-11
Toyota C-HR 1.8,Toyota,C-HR,,,SUV,,1.8,,Benzín,,"4,3",377,67,0.32,reálné,2026-05-26,2026-07-11
Toyota C-HR 2.0,Toyota,C-HR,,,SUV,,2.0,,Benzín,,"4,7",377,68,0.318,reálné,2026-05-26,2026-07-11
Toyota Proace 2.0,Toyota,Proace,,,,,2.0,,Benzín,,"6,5",1000,72,0.32,odhad,2026-05-26,2026-07-11
Toyota Proace Verso 2.0,Toyota,Proace Verso,,,MPV,,2.0,,Benzín,,"6,5",1100,72,0.33,odhad,2026-05-26,2026-07-11
VW Caddy 1.5 TSI,VW,Caddy,,,MPV,,1.5,TSI,Benzín,,"6,5",834,69,0.33,odhad,2026-05-26,2026-07-11
VW T6 Multivan 2.0 TDI,VW,T6 Multivan,,,MPV,,2.0,TDI,Nafta,,"7,5",913,70,0.33,odhad,2026-05-26,2026-07-11
VW Transporter T6 2.0 TDI,VW,Transporter T6,,,MPV,,2.0,TDI,Nafta,,"7,5",900,71,0.33,odhad,2026-05-26,2026-07-11
Volvo V60 2.0,Volvo,V60,,,Kombi,,2.0,,Benzín,,"6,5",529,68,0.29,reálné,2026-05-26,2026-07-11
Volvo V90 2.0,Volvo,V90,,,Kombi,,2.0,,Benzín,,"6,5",560,68,0.3,reálné,2026-05-26,2026-07-11
Volvo XC60 2.0,Volvo,XC60,,,SUV,,2.0,,Benzín,,"7,5",468,69,0.32,reálné,2026-05-26,2026-07-11
Dodge Challenger 3.6,Dodge,Challenger,,,Kupé,,3.6,,Benzín,,"10,2",459,72,0.34,reálné,2026-05-26,2026-07-11
Dodge Charger 3.6,Dodge,Charger,,,Sedan,,3.6,,Benzín,,"10,2",467,72,0.335,reálné,2026-05-26,2026-07-11
Cadillac XT4 2.0,Cadillac,XT4,,,SUV,,2.0,,Benzín,,"9,5",637,,0.33,odhad,2026-06-28,2026-07-11
Dongfeng Shine 1.5,Dongfeng,Shine,,,Sedan,,1.5,,Benzín,,"6,2",506,,0.27,odhad,2026-06-07,2026-07-11
Lexus LBX 1.5 Hybrid,Lexus,LBX,,,SUV,,1.5,,Benzín,HEV,"4,8",402,,0.34,reálné,2026-06-28,2026-07-11
Toyota Camry 2.5 Hybrid,Toyota,Camry,,,Sedan,,2.5,,Benzín,HEV,"5,0",505,,0.27,reálné,2026-06-28,2026-07-11
Škoda Karoq 2.0 TDI,Škoda,Karoq,,,SUV,,2.0,TDI,Nafta,,"5,0",521,,0.3,reálné,2026-06-07,2026-07-11
VW Golf Hatchback 2.0 TDI,VW,Golf,,Gen 8,Hatchback,,2.0,TDI,Nafta,,"5,0",380,,0.275,reálné,2026-06-28,2026-07-11
Omoda C5 1.6 T-GDI,Omoda,C5,,,SUV,,1.6,T-GDI,Benzín,,"7,5",378,,0.33,odhad,2026-06-07,2026-07-11
Audi SQ8 4.0 TFSI,Audi,SQ8,,,SUV,,4.0,TFSI,Benzín,,"12,3",605,,0.34,reálné,2026-06-07,2026-07-11
Renault Grand Scénic 1.3 TCe,Renault,Grand Scénic,,,MPV,,1.3,TCe,Benzín,,"7,0",597,,0.33,odhad,2026-06-07,2026-07-11
BMW 118 Hatchback 1.5,BMW,118,,F40 (2019-2024),Hatchback,5,1.5,,Benzín,,"5,7",380,,0.26,reálné,2026-07-09,2026-07-11
BMW 118 Sedan 1.5,BMW,118,,F40 (2019-2024),Sedan,5,1.5,,Benzín,,"5,7",380,68,0.26,reálné,2026-07-09,2026-07-11
BMW 118 Sedan 2.0 d,BMW,118,,F40 (2019-2024),Sedan,5,2,,Nafta,,"4,3",380,,0.26,reálné,2026-07-09,2026-07-11
BMW 120 Sedan 1.5,BMW,120,,F40 (2019-2024),Sedan,5,1.5,,Benzín,,"5,9",300,,,,2026-07-09,2026-07-11
BMW 120 Sedan 2.0,BMW,120,,F40 (2019-2024),Sedan,5,2,,Benzín,,"6,2",375,,0.28,odhad,2026-07-09,2026-07-11
BMW 120 Sedan 2.0 d,BMW,120,,F40 (2019-2024),Sedan,5,2,,Nafta,,"4,3",380,,0.26,reálné,2026-07-09,2026-07-11
BMW 128 Sedan 2.0,BMW,128,,F40 (2019-2024),Sedan,5,2,,Benzín,,"6,2",380,,0.32,reálné,2026-07-09,2026-07-11
BMW 218 Gran Coupé Kupé 1.5,BMW,218 Gran Coupé,,F44 (2019-2024),Kupé,5,1.5,,Benzín,,"5,6",430,,0.25,reálné,2026-07-09,2026-07-11
BMW 218 Gran Coupé Kupé 2.0 d,BMW,218 Gran Coupé,,F44 (2019-2024),Kupé,5,2,,Nafta,,"4,2",430,,0.26,reálné,2026-07-09,2026-07-11
BMW 218 Gran Coupé Sedan 1.5,BMW,218 Gran Coupé,,F44 (2019-2024),Sedan,4,1.5,,Benzín,,,,,,,2026-07-09,2026-07-11
BMW 218 Gran Coupé Sedan 2.0 d,BMW,218 Gran Coupé,,F44 (2019-2024),Sedan,5,2,,Nafta,,"4,2",430,,0.26,reálné,2026-07-09,2026-07-11
BMW 218 Gran Tourer VAN 1.5,BMW,218 Gran Tourer,,F46 LCI (2018-2021),VAN,5,1.5,,Benzín,,"5,9",645,,0.28,reálné,2026-07-09,2026-07-11
BMW 218 Gran Tourer VAN 2.0 d,BMW,218 Gran Tourer,,"F46 (2015-2021, LCI facelift 2018-2021)",VAN,5,2,,Nafta,,"5,0",645,,0.28,reálné,2026-07-09,2026-07-11
BMW 218 Kupé 1.5,BMW,218,,F22 LCI (2017-2021),Kupé,4,1.5,,Benzín,,"5,8",390,,0.29,reálné,2026-07-09,2026-07-11
BMW 218 Kupé 2.0 d,BMW,218,,F22 LCI (2017-2020/21),Kupé,4,2,,Nafta,,"4,2",390,,0.29,reálné,2026-07-09,2026-07-11
BMW 218 Sedan 1.5,BMW,218,,F44 (2019-2024),Sedan,5,1.5,,Benzín,,,430,,,,2026-07-09,2026-07-11
BMW 218 VAN 1.5 PHEV,BMW,218,,U06 (2021+) or F45 (2016-2021),VAN,5,1.5,,Benzín,PHEV,,645,,0.35,odhad,2026-07-09,2026-07-11
BMW 220 Gran Coupé Kupé 1.5,BMW,220 Gran Coupé,,F44 (2019-2024),Kupé,5,1.5,,Benzín,,"5,5",430,,0.25,reálné,2026-07-09,2026-07-11
BMW 220 Gran Coupé Kupé 2.0,BMW,220 Gran Coupé,,F44 (2019-2024),Kupé,5,2,,Benzín,,"6,2",430,,0.25,reálné,2026-07-09,2026-07-11
BMW 220 Gran Coupé Kupé 2.0 d,BMW,220 Gran Coupé,,G42 (2021+),Kupé,4,2,,Nafta,,"4,6",390,65,0.26,reálné,2026-07-09,2026-07-11
BMW 220 Gran Coupé Sedan 2.0 d,BMW,220 Gran Coupé,,F44 (2019-2024),Sedan,5,2,,Nafta,,"4,3",430,,0.25,reálné,2026-07-09,2026-07-11
BMW 220 Gran Tourer VAN 2.0 d,BMW,220 Gran Tourer,,F46 LCI (facelift 2018 – July 2022),VAN,5,2,,Nafta,,"4,8",645,71,0.30,reálné,2026-07-09,2026-07-11
BMW 220 Sedan 2.0,BMW,220,,F44 (2019-2024),Sedan,5,2,,Benzín,,"5,9",430,,0.25,reálné,2026-07-09,2026-07-11
BMW 220 Tourer Kombi 1.5 PHEV,BMW,220 Tourer,,U06 (2022–present),Kombi,5,1.5,,Benzín,PHEV,,406,68,0.26,reálné,2026-07-09,2026-07-11
BMW 220 VAN 1.5 PHEV,BMW,220,,U06 (2021-present),VAN,5,1.5,,Benzín,PHEV,,406,,0.26,reálné,2026-07-09,2026-07-11
BMW 225 Tourer VAN 1.5 PHEV,BMW,225 Tourer,,U06 (2022-present),VAN,5,1.5,,Benzín,PHEV,,406,,0.30,reálné,2026-07-09,2026-07-11
BMW 2er Gran Coupé Kupé 1.5,BMW,2er Gran Coupé,,F44 (2019-2025),Kupé,5,1.5,,Benzín,,"5,7",430,70,0.26,reálné,2026-07-09,2026-07-11
BMW 2er Gran Coupé Sedan 1.5,BMW,2er Gran Coupé,,"F44 (2019–present, facelift 2023)",Sedan,5,1.5,,Benzín,,"5,6",430,,0.25,reálné,2026-07-09,2026-07-11
BMW 318 Kombi 2.0,BMW,318,,G21 (2019-2024),Kombi,5,2,,Benzín,,"6,2",620,69,0.23,reálné,2026-07-09,2026-07-11
BMW 318 Kombi 2.0 d,BMW,318,,G21 (2019-2024),Kombi,5,2,,Nafta,,"4,8",500,66,0.27,reálné,2026-07-09,2026-07-11
BMW 318 Sedan 2.0,BMW,318,,"G20 (2019-2026, incl. 2022 LCI facelift)",Sedan,5,2,,Benzín,,"6,8",480,,0.23,reálné,2026-07-09,2026-07-11
BMW 318 Sedan 2.0 d,BMW,318,,"G20 (2019-2022, pre-facelift/LCI)",Sedan,5,2,,Nafta,,"4,4",480,,0.23,reálné,2026-07-09,2026-07-11
BMW 320 Kombi 2.0 HEV,BMW,320,,G21 (2021-2024),Kombi,5,2,,Benzín,HEV,"1,6",410,,0.28,reálné,2026-07-09,2026-07-11
BMW 320 Kombi 2.0 PHEV,BMW,320,,G20/G21 (2019-2024),Kombi,5,2,,Benzín,PHEV,"2,3",480,71,0.30,odhad,2026-07-09,2026-07-11
BMW 320 Kombi 2.0 d HEV,BMW,320,,G21 (2019-present); 48V mild-hybrid standard from 2022 LCI facelift,Kombi,5,2,,Nafta,HEV,"5,7",500,,0.27,reálné,2026-07-09,2026-07-11
BMW 320 Sedan 2.0 PHEV,BMW,320,,G20 (2019-2024),Sedan,5,2,,Benzín,PHEV,"1,6",375,,0.25,reálné,2026-07-09,2026-07-11
BMW 330 Kombi 2.0 PHEV,BMW,330,,G21 (2020-2024),Kombi,5,2,,Benzín,PHEV,"1,6",410,,0.28,reálné,2026-07-09,2026-07-11
